variable,group,source_role,meaning,raw_dtype,cohort_dtype,semantic_type,raw_cardinality,cohort_cardinality,raw_question_marks,raw_unknown_pct,cohort_unknown_count,cohort_unknown_pct,cohort_not_measured_count,cohort_observed_values,identifier,leakage_review,availability_at_discharge,preliminary_model_exclusion,treatment
encounter_id,identifiers,ID,Unique identifier of an encounter,string,string,identifier,101766,90702,0,0.0,0,0.0,0,90702 distinct nonmissing values; see tables,True,excluded: identity leakage,"Yes, but never a predictor",True,Keep for audit/grouping only; no ID-order chronology.
patient_nbr,identifiers,ID,Unique identifier of a patient,string,string,identifier,71518,65044,0,0.0,0,0.0,0,65044 distinct nonmissing values; see tables,True,excluded: identity leakage,"Yes, but never a predictor",True,Keep for audit/grouping only; no ID-order chronology.
race,demographics,Feature,"Values: Caucasian, Asian, African American, Hispanic, and other",str,str,Categorical,6,6,2273,2.2335554114340743,2085,2.298736521796653,0,"AfricanAmerican, Asian, Caucasian, Hispanic, Other",False,definitely safe by source semantics,Expected before discharge; source has no timestamps,False,Keep source categories/Unknown; subgroup audits; no causal inference.
gender,demographics,Feature,"Values: male, female, and unknown/invalid",str,str,Categorical,3,3,0,0.002947939390366134,3,0.003307534563736191,0,"Female, Male, Unknown/Invalid",False,definitely safe by source semantics,Expected before discharge; source has no timestamps,False,Keep source categories/Unknown; subgroup audits; no causal inference.
age,demographics,Feature,"Grouped in 10-year intervals: [0, 10), [10, 20),..., [90, 100)",str,str,Categorical,10,10,0,0.0,0,0.0,0,"[0-10), [10-20), [20-30), [30-40), [40-50), [50-60), [60-70), [70-80), [80-90), [90-100)",False,definitely safe by source semantics,Expected before discharge; source has no timestamps,False,Keep source categories/Unknown; subgroup audits; no causal inference.
weight,encounter information,Feature,Weight in pounds.,str,str,Categorical,10,10,98569,96.85847925633315,87689,96.67813278648761,0,">200, [0-25), [100-125), [125-150), [150-175), [175-200), [25-50), [50-75), [75-100)",False,questionable: sparse coverage,If measured during stay; operational timing unverified,True,"Exclude from first modeling pass; retain for sensitivity, no imputation."
admission_type_id,encounter information,Feature,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",int64,int64,Categorical,8,8,0,10.21559263408211,8671,9.559877400718838,0,"1, 2, 3, 4, 5, 6, 7, 8",False,definitely safe by source semantics,Admission information or elapsed stay is known at completed discharge,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
discharge_disposition_id,encounter information,Feature,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",int64,int64,Categorical,26,10,0,4.598785448971169,0,0.0,0,"1, 16, 17, 22, 24, 3, 4, 6, 7, 8",False,questionable: discharge snapshot,Usable only if this final encounter value exists at scoring,False,Retain for cohort; compare models with/without disposition in Phase 3.
admission_source_id,encounter information,Feature,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",int64,int64,Categorical,17,17,0,6.944362557239156,6149,6.7793433441379465,0,17 distinct nonmissing values; see tables,False,definitely safe by source semantics,Admission information or elapsed stay is known at completed discharge,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
time_in_hospital,encounter information,Feature,Integer number of days between admission and discharge,int64,int64,Integer,14,14,0,0.0,0,0.0,0,"1, 10, 11, 12, 13, 14, 2, 3, 4, 5, 6, 7, 8, 9",False,definitely safe by source semantics,Admission information or elapsed stay is known at completed discharge,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
payer_code,administrative variables,Feature,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",str,str,Categorical,18,18,40256,39.5574160328597,33090,36.48210623801019,0,17 distinct nonmissing values; see tables,False,questionable: billing finalization,Coverage information may be known; final billing payer unverified,False,Explicit Unknown; retain for ablation; monitor care-access proxies.
medical_specialty,administrative variables,Feature,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",str,str,Categorical,73,73,49949,49.08220820313268,43794,48.28338956142091,0,72 distinct nonmissing values; see tables,False,definitely safe by source semantics,"Admitting physician specialty, if recorded",False,Explicit Unknown; retain for ablation; monitor care-access proxies.
num_lab_procedures,encounter information,Feature,Number of lab tests performed during the encounter,int64,int64,Integer,118,117,0,0.0,0,0.0,0,117 distinct nonmissing values; see tables,False,questionable: discharge snapshot,Usable only if this final encounter value exists at scoring,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
num_procedures,encounter information,Feature,Number of procedures (other than lab tests) performed during the encounter,int64,int64,Integer,7,7,0,0.0,0,0.0,0,"0, 1, 2, 3, 4, 5, 6",False,questionable: discharge snapshot,Usable only if this final encounter value exists at scoring,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
num_medications,encounter information,Feature,Number of distinct generic names administered during the encounter,int64,int64,Integer,75,75,0,0.0,0,0.0,0,75 distinct nonmissing values; see tables,False,questionable: discharge snapshot,Usable only if this final encounter value exists at scoring,False,"Keep source categories/counts; verify runtime cutoff, no scaling yet."
number_outpatient,utilization history,Feature,Number of outpatient visits of the patient in the year preceding the encounter,int64,int64,Integer,39,39,0,0.0,0,0.0,0,39 distinct nonmissing values; see tables,False,definitely safe by source semantics,Defined as the year before this encounter,False,Keep separate counts; evaluate nonlinear effects; no clipping yet.
number_emergency,utilization history,Feature,Number of emergency visits of the patient in the year preceding the encounter,int64,int64,Integer,33,32,0,0.0,0,0.0,0,32 distinct nonmissing values; see tables,False,definitely safe by source semantics,Defined as the year before this encounter,False,Keep separate counts; evaluate nonlinear effects; no clipping yet.
number_inpatient,utilization history,Feature,Number of inpatient visits of the patient in the year preceding the encounter,int64,int64,Integer,21,20,0,0.0,0,0.0,0,20 distinct nonmissing values; see tables,False,definitely safe by source semantics,Defined as the year before this encounter,False,Keep separate counts; evaluate nonlinear effects; no clipping yet.
diag_1,diagnoses,Feature,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,string,string,Categorical,717,709,21,0.02063557573256294,15,0.016537672818680956,0,708 distinct nonmissing values; see tables,False,questionable: retrospective coding,Clinical diagnoses may be known; finalized billing codes may be late,False,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
diag_2,diagnoses,Feature,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,string,string,Categorical,749,741,358,0.3517874339170253,334,0.3682388480959626,0,740 distinct nonmissing values; see tables,False,questionable: retrospective coding,Clinical diagnoses may be known; finalized billing codes may be late,False,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
diag_3,diagnoses,Feature,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,string,string,Categorical,790,777,1423,1.398305917497003,1307,1.440982558267734,0,776 distinct nonmissing values; see tables,False,questionable: retrospective coding,Clinical diagnoses may be known; finalized billing codes may be late,False,"Preserve strings/Unknown; verify cutoff, then test broad grouping."
number_diagnoses,diagnoses,Feature,Number of diagnoses entered to the system,int64,int64,Integer,16,16,0,0.0,0,0.0,0,16 distinct nonmissing values; see tables,False,questionable: retrospective coding,Clinical diagnoses may be known; finalized billing codes may be late,False,"Keep numeric diagnosis count; verify coding cutoff, then test nonlinear effects."
max_glu_serum,lab indicators,Feature,"Indicates the range of the result or if the test was not taken. Values: >200, >300, normal, and none if not measured",str,str,Categorical,4,4,0,0.0,0,0.0,86216,">200, >300, None, Norm",False,questionable: result availability,Only usable if the result exists by discharge; timing unverified,False,"Preserve None as not measured; categorical, no numeric imputation."
A1Cresult,lab indicators,Feature,"Indicates the range of the result or if the test was not taken. Values: >8 if the result was greater than 8%, >7 if the result was greater than 7% but less than 8%, normal if the result was less than 7%, and none if not measured.",str,str,Categorical,4,4,0,0.0,0,0.0,75443,">7, >8, None, Norm",False,questionable: result availability,Only usable if the result exists by discharge; timing unverified,False,"Preserve None as not measured; categorical, no numeric imputation."
