source,transformed,type,status,reason
encounter_id,none,categorical,Excluded,Traceability only; never an order surrogate
patient_nbr,none,categorical,Excluded,Grouping only; no future patient aggregates
race,none,categorical,Excluded,Audit-only; predictive inclusion deferred
gender,gender,categorical,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
age,age,categorical,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
weight,none,categorical,Excluded,96.68% missing in Phase 2; no initial predictive use
admission_type_id,admission_type_id,categorical,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
discharge_disposition_id,discharge_disposition_id,categorical,Primary allowed,Conditional on confirmed destination; without-disposition ablation included
admission_source_id,admission_source_id,categorical,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
time_in_hospital,time_in_hospital,numeric,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
payer_code,payer_code,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
medical_specialty,medical_specialty,categorical,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
num_lab_procedures,num_lab_procedures,numeric,Sensitivity only,Billing/result/full-stay finalization time unverified
num_procedures,num_procedures,numeric,Sensitivity only,Billing/result/full-stay finalization time unverified
num_medications,num_medications,numeric,Sensitivity only,Billing/result/full-stay finalization time unverified
number_outpatient,number_outpatient,numeric,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
number_emergency,number_emergency,numeric,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
number_inpatient,number_inpatient,numeric,Primary allowed,Antecedent/as-of-discharge source semantics; see scoring-time contract
diag_1,diag_1_group or raw diag_1,categorical,Sensitivity only,Final coding time unverified; broad documented groups versus train-pooled raw codes
diag_2,diag_2_group or raw diag_2,categorical,Sensitivity only,Final coding time unverified; broad documented groups versus train-pooled raw codes
diag_3,diag_3_group or raw diag_3,categorical,Sensitivity only,Final coding time unverified; broad documented groups versus train-pooled raw codes
number_diagnoses,number_diagnoses,numeric,Sensitivity only,Billing/result/full-stay finalization time unverified
max_glu_serum,max_glu_serum,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
A1Cresult,A1Cresult,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
